month,starting_mrr,new_mrr,expansion_mrr,churned_mrr,ending_mrr,grr,nrr,cac,ltv,ltv_cac_ratio,gross_margin
2023-01-01,0.0,5130.0,0.0,1740.0,129227.37400000001,1.0,1.0,4817.3525,10208.654250077934,2.1191420495132824,0.806
2023-02-01,129227.37400000001,5526.0,53.91799999997602,1589.0,133218.292,0.9877038436144342,0.9881210771953005,3859.835833333333,9480.774862380902,2.456263756221299,0.8030717967697245
2023-03-01,133218.292,5479.0,58.10599999999977,1391.0,137364.398,0.9895584909615865,0.9899946622945743,5120.67,11962.496538959596,2.336119402140657,0.802
2023-04-01,137364.398,6026.0,62.294000000023516,1490.0,141962.692,0.9891529390315531,0.9896064335389146,4118.75,11106.142366279943,2.6964837308115186,0.8030717967697245
2023-05-01,141962.692,6474.0,62.29399999999441,1839.0,146659.986,0.9870458923109179,0.987484697740164,3809.558461538462,10456.782798118495,2.744880516650636,0.806
2023-06-01,146659.986,5229.0,49.73000000001048,1839.0,150099.71600000001,0.9874607924754609,0.9877998761025384,4525.63380952381,10857.862572987015,2.3991915895045617,0.81
2023-07-01,150099.71600000001,6474.0,66.48199999998906,1490.0,155150.198,0.9900732656949198,0.9905161845875844,4131.668076923077,12282.626429592456,2.972800864182569,0.8140000000000001
2023-08-01,155150.198,6026.0,58.10599999999977,1839.0,159395.304,0.9881469696867548,0.9885214841943031,4222.270416666667,11579.479065274109,2.742476895739827,0.8169282032302755
2023-09-01,159395.304,5479.0,49.72999999998137,2386.0,162538.03399999999,0.9850309266325687,0.9853429182581187,4661.624761904762,9386.619597246148,2.0135939885068597,0.8180000000000001
2023-10-01,162538.03399999999,4932.0,53.91800000000512,1490.0,166033.952,0.990832914836413,0.9911646402712119,5905.918888888888,13386.1872837638,2.2665714744149175,0.8169282032302755
2023-11-01,166033.952,6375.0,62.294000000023516,2037.0,170434.246,0.9877314249557826,0.9881066132787107,4288.1044,10466.249411666135,2.4407636650978306,0.8140000000000001
2023-12-01,170434.246,6474.0,62.29399999999441,1839.0,175131.54,0.9892099150073396,0.9895754166683144,4306.709230769231,12592.851101481903,2.9240077346091615,0.8099999999999999
2024-01-01,175131.54,6700.59,6189.743609999992,2469.5099999999998,185552.36361,0.9858991133179095,1.0212425106865388,4506.863076923077,10485.298992795944,2.326518204310405,0.806
2024-02-01,185552.36361,7061.805,64.47428999999283,2367.045,190311.5979,0.9872432506169787,0.9875907228277638,4284.708518518519,11508.575065637826,2.6859645214832564,0.8030717967697245
2024-03-01,190311.5979,7989.165,73.14344999996229,2162.115,196211.79134999996,0.9886390791530419,0.9890234143738434,3586.5661290322582,13887.330253061238,3.8720407636282377,0.8019999999999999
2024-04-01,196211.79134999996,9384.345,102.94110000004366,2367.045,203332.03245,0.9879362754719583,0.9884609182535758,3496.8369696969694,12203.945685978544,3.489995613674869,0.8030717967697245
2024-05-01,203332.03245,8818.199999999999,98.60652000000755,2571.9749999999995,209676.86397,0.9873508616964597,0.9878358148974475,3785.174666666667,11031.588767854733,2.914420004181595,0.806
2024-06-01,209676.86397,9540.63,111.61025999995718,2313.225,217015.87922999996,0.9889676669318606,0.989499963427939,3577.1184375,11448.177346445622,3.2003909142149065,0.81
2024-07-01,217015.87922999996,8818.199999999999,98.60652000005211,2162.115,223770.57075,0.9900370654549728,0.9904914401318395,4011.2256666666667,16142.305119639737,4.024282466524506,0.8140000000000001
2024-08-01,223770.57075,9076.949999999999,102.94109999999955,2469.5099999999998,230480.95185,0.9889640983989848,0.9894241280608611,3763.312,13169.929993939802,3.499558366125318,0.8169282032302755
2024-09-01,230480.95185,7886.7,73.14344999997957,2571.9749999999995,235868.8203,0.9888408348743983,0.9891581862624973,3820.6429999999996,12617.241378215725,3.3023868961888683,0.8180000000000001
2024-10-01,235868.8203,8452.845,73.1434499999732,2933.1899999999996,241461.61874999997,0.9875643164863025,0.9878744187283324,3586.2130303030303,12067.547462223369,3.3649834408202115,0.8169282032302755
2024-11-01,241461.61874999997,8350.38,73.14345000000594,2933.1899999999996,246951.95219999997,0.9878523551064365,0.9881552746775827,3877.9759375,12318.236259150823,3.1764602095731345,0.8140000000000001
2024-12-01,246951.95219999997,8091.63,68.80886999998074,2933.1899999999996,252179.20106999995,0.9881224263510803,0.9884010589732847,4145.499375,12521.943128579886,3.0206115104238522,0.81
2025-01-01,252179.20106999995,10086.654599999998,8932.816075950064,2929.800375,268268.87137095,0.9883820697243515,1.0238045630864052,3544.5923529411766,14094.272687069719,3.9762746413913557,0.806
2025-02-01,268268.87137095,11314.278449999998,120.00290939994875,3354.0054749999995,276349.14725534996,0.9874975972506246,0.9879449205229324,3115.041315789474,11426.21861178654,3.668079313705888,0.8030717967697245
2025-03-01,276349.14725534996,11794.187249999999,124.48919970000043,3035.8516499999996,285231.97205504996,0.9890144345291038,0.9894649124876442,3239.6915,13914.717412657123,4.295074828160991,0.802
2025-04-01,285231.97205504996,12061.993499999999,89.16234164999423,4697.321625,292685.80627169996,0.9835315739986771,0.9838441698868856,3355.22025,15244.96034341676,4.543654129238389,0.8030717967697245
