month,predicted_revenue,actual_revenue,forecast_error,absolute_percentage_error
2024-01-01,179865.61829290976,185552.36361,-5686.7453170902445,0.030647657655511362
2024-02-01,193629.7899602392,190311.5979,3318.1920602392056,0.01743557458848495
2024-03-01,198414.28993330605,196211.79134999996,2202.4985833060928,0.011225108175977586
2024-04-01,201769.66837524239,203332.03245,-1562.3640747576137,0.007683806904068616
2024-05-01,210173.27633192306,209676.86397,496.41236192305223,0.0023675113816757462
2024-06-01,216752.7072286446,217015.87922999996,-263.17200135535677,0.0012126854601106822
2024-07-01,224199.73843050192,223770.57075,429.16768050190876,0.0019178915219436143
2024-08-01,231169.19594364264,230480.95185,688.2440936426283,0.002986121361085607
2024-09-01,237523.65528786575,235868.8203,1654.834987865761,0.007015912428615987
2024-10-01,242162.31996580906,241461.61874999997,700.7012158090947,0.002901915507054451
2024-11-01,247146.60446590846,246951.95219999997,194.6522659084876,0.0007882191826159114
2024-12-01,252687.33623570926,252179.20106999995,508.1351657093037,0.002014976506996925
2025-01-01,257715.1627282085,268268.87137095,-10553.70864274152,0.03934004190947794
2025-02-01,279666.2201121841,276349.14725534996,3317.0728568341583,0.012003195558150728
2025-03-01,289326.8613888728,285231.97205504996,4094.8893338228227,0.014356347587263136
2025-04-01,294111.74972095166,292685.80627169996,1425.943449251703,0.004871925521143998
2025-05-01,301214.0881489091,302385.50869229995,-1171.42054339085,0.0038739308257753147
2025-06-01,311347.13534086634,310550.16925484996,796.9660860163858,0.00256630382114641
2025-07-01,319888.5924515593,318881.0710826999,1007.521368859394,0.00315955213471451
2025-08-01,327463.2927382937,326734.9157115,728.3770267937216,0.0022292598426697165
2025-09-01,335141.09478760196,332961.9959128499,2179.0988747520605,0.006544587374837884
2025-10-01,340235.2000172267,339885.57375449996,349.6262627267279,0.0010286587302445018
2025-11-01,346658.2028270598,347127.30542114994,-469.10259409016,0.0013513848860752234
2025-12-01,354434.38372556126,352597.6979919,1836.6857336612884,0.005209012265597609
2026-01-01,359132.2888578688,374047.61952160567,-14915.330663736851,0.0398754861287797
2026-02-01,388372.3377604356,386139.67363043316,2232.664130002435,0.005782011749818991
2026-03-01,404126.3608173216,397181.56347267516,6944.797344646417,0.01748519564686239
2026-04-01,409280.34230236773,410448.3751280091,-1168.0328256413923,0.0028457484458967843
2026-05-01,423171.8582241654,420574.9052752154,2596.9529489499982,0.006174769146653215
2026-06-01,432787.1931181856,430357.31600325066,2429.877114934963,0.005646185215349306
