cohort_month,observation_month,age_months,customers_acquired,customers_retained,logo_retention,cohort_mrr
2023-01-01,2023-01-01,0,37,37,1.0,12100.318557708413
2023-01-01,2023-02-01,1,37,36,0.972972972972973,11843.922618539671
2023-01-01,2023-03-01,2,37,36,0.972972972972973,11914.986154250908
2023-01-01,2023-04-01,3,37,35,0.9459459459459459,11653.518402532627
2023-01-01,2023-05-01,4,37,34,0.918918918918919,11388.484098292169
2023-01-01,2023-06-01,5,37,34,0.918918918918919,11456.815002881922
2023-01-01,2023-07-01,6,37,33,0.8918918918918919,11186.568954872766
2023-01-01,2023-08-01,7,37,33,0.8918918918918919,11253.688368602005
2023-01-01,2023-09-01,8,37,32,0.8648648648648649,10978.143514001082
2023-01-01,2023-10-01,9,37,31,0.8378378378378378,10698.88698836368
2023-01-01,2023-11-01,10,37,31,0.8378378378378378,10763.080310293863
2023-01-01,2023-12-01,11,37,30,0.8108108108108109,10478.379476279637
2023-01-01,2024-01-01,12,37,30,0.8108108108108109,10541.249753137317
2023-01-01,2024-02-01,13,37,29,0.7837837837837838,10251.01400993427
2023-01-01,2024-03-01,14,37,29,0.7837837837837838,10312.520093993875
2023-01-01,2024-04-01,15,37,28,0.7567567567567568,10016.6574485386
2023-01-01,2024-05-01,16,37,28,0.7567567567567568,10076.757393229835
2023-01-01,2024-06-01,17,37,27,0.7297297297297297,9775.174439818167
2023-01-01,2024-07-01,18,37,27,0.7297297297297297,9833.825486457077
2023-01-01,2024-08-01,19,37,26,0.7027027027027027,9526.427386065603
2023-01-01,2024-09-01,20,37,26,0.7027027027027027,9583.585950382
2023-01-01,2024-10-01,21,37,25,0.6756756756756757,9270.276409696433
2023-01-01,2024-11-01,22,37,25,0.6756756756756757,9325.89806815461
2023-01-01,2024-12-01,23,37,24,0.6486486486486487,9006.579318300997
2023-01-01,2025-01-01,24,37,24,0.6486486486486487,9060.618794210804
2023-01-01,2025-02-01,25,37,24,0.6486486486486487,9114.982506976068
2023-01-01,2025-03-01,26,37,23,0.6216216216216216,8787.602718600512
2023-01-01,2025-04-01,27,37,23,0.6216216216216216,8840.328334912114
2023-01-01,2025-05-01,28,37,22,0.5945945945945946,8506.702030794562
2023-01-01,2025-06-01,29,37,22,0.5945945945945946,8557.74224297933
2023-01-01,2025-07-01,30,37,22,0.5945945945945946,8609.088696437206
2023-01-01,2025-08-01,31,37,21,0.5675675675675675,8267.073081860563
2023-01-01,2025-09-01,32,37,21,0.5675675675675675,8316.675520351728
2023-01-01,2025-10-01,33,37,20,0.5405405405405406,7968.167212832227
2023-01-01,2025-11-01,34,37,20,0.5405405405405406,8015.976216109219
2023-01-01,2025-12-01,35,37,20,0.5405405405405406,8064.072073405875
2023-01-01,2026-01-01,36,37,19,0.5135135135135135,7706.833680553994
2023-01-01,2026-02-01,37,37,19,0.5135135135135135,7753.074682637319
2023-01-01,2026-03-01,38,37,19,0.5135135135135135,7799.593130733142
2023-01-01,2026-04-01,39,37,18,0.4864864864864865,7433.422758490302
2023-01-01,2026-05-01,40,37,18,0.4864864864864865,7478.023295041245
2023-01-01,2026-06-01,41,37,18,0.4864864864864865,7522.891434811491
2023-01-01,2026-07-01,42,37,17,0.4594594594594595,7147.582739897007
2023-01-01,2026-08-01,43,37,17,0.4594594594594595,7190.468236336389
2023-01-01,2026-09-01,44,37,17,0.4594594594594595,7233.611045754408
2023-01-01,2026-10-01,45,37,16,0.43243243243243246,6848.953140733114
2023-01-01,2026-11-01,46,37,16,0.43243243243243246,6890.046859577514
2023-01-01,2026-12-01,47,37,16,0.43243243243243246,6931.387140734979
2023-02-01,2023-02-01,0,45,45,1.0,13593.376752925364
2023-02-01,2023-03-01,1,45,44,0.9777777777777777,13371.049524255295
2023-02-01,2023-04-01,2,45,43,0.9555555555555556,13145.56500727808
2023-02-01,2023-05-01,3,45,42,0.9333333333333333,12916.893318314269
2023-02-01,2023-06-01,4,45,41,0.9111111111111111,12685.004328742625
